,imf_code,iso3_code
0,512,AFG
1,914,ALB
2,612,DZA
3,171,AND
4,614,AGO
5,311,ATG
6,213,ARG
7,911,ARM
8,314,ABW
9,193,AUS
10,122,AUT
11,912,AZE
12,313,BHS
13,419,BHR
14,513,BGD
15,316,BRB
16,913,BLR
17,124,BEL
18,339,BLZ
19,638,BEN
20,514,BTN
21,218,BOL
22,963,BIH
23,616,BWA
24,223,BRA
25,516,BRN
26,918,BGR
27,748,BFA
28,618,BDI
29,624,CPV
30,522,KHM
31,622,CMR
32,156,CAN
33,626,CAF
34,628,TCD
35,228,CHL
36,924,CHN
37,233,COL
38,632,COM
39,636,COD
40,634,COG
41,238,CRI
42,662,CIV
43,960,HRV
44,423,CYP
45,935,CZE
46,128,DNK
47,611,DJI
48,321,DMA
49,243,DOM
50,248,ECU
51,469,EGY
52,253,SLV
53,642,GNQ
54,643,ERI
55,939,EST
56,734,SWZ
57,644,ETH
58,819,FJI
59,172,FIN
60,132,FRA
61,646,GAB
62,648,GMB
63,915,GEO
64,134,DEU
65,652,GHA
66,174,GRC
67,328,GRD
68,258,GTM
69,656,GIN
70,654,GNB
71,336,GUY
72,263,HTI
73,268,HND
74,532,HKG
75,944,HUN
76,176,ISL
77,534,IND
78,536,IDN
79,429,IRN
80,433,IRQ
81,178,IRL
82,436,ISR
83,136,ITA
84,343,JAM
85,158,JPN
86,439,JOR
87,916,KAZ
88,664,KEN
89,826,KIR
90,542,KOR
91,967,UVK
92,443,KWT
93,917,KGZ
94,544,LAO
95,941,LVA
96,446,LBN
97,666,LSO
98,668,LBR
99,672,LBY
100,946,LTU
101,137,LUX
102,546,MAC
103,674,MDG
104,676,MWI
105,548,MYS
106,556,MDV
107,678,MLI
108,181,MLT
109,867,MHL
110,682,MRT
111,684,MUS
112,273,MEX
113,868,FSM
114,921,MDA
115,948,MNG
116,943,MNE
117,686,MAR
118,688,MOZ
119,518,MMR
120,728,NAM
121,836,NRU
122,558,NPL
123,138,NLD
124,196,NZL
125,278,NIC
126,692,NER
127,694,NGA
128,962,MKD
129,142,NOR
130,449,OMN
131,564,PAK
132,565,PLW
133,283,PAN
134,853,PNG
135,288,PRY
136,293,PER
137,566,PHL
138,964,POL
139,182,PRT
140,359,PRI
141,453,QAT
142,968,ROU
143,922,RUS
144,714,RWA
145,862,WSM
146,135,SMR
147,716,STP
148,456,SAU
149,722,SEN
150,942,SRB
151,718,SYC
152,724,SLE
153,576,SGP
154,936,SVK
155,961,SVN
156,813,SLB
157,726,SOM
158,199,ZAF
159,733,SSD
160,184,ESP
161,524,LKA
162,361,KNA
163,362,LCA
164,364,VCT
165,732,SDN
166,366,SUR
167,144,SWE
168,146,CHE
169,463,SYR
170,528,TWN
171,923,TJK
172,738,TZA
173,578,THA
174,537,TLS
175,742,TGO
176,866,TON
177,369,TTO
178,744,TUN
179,186,TUR
180,925,TKM
181,869,TUV
182,746,UGA
183,926,UKR
184,466,ARE
185,112,GBR
186,111,USA
187,298,URY
188,927,UZB
189,846,VUT
190,299,VEN
191,582,VNM
192,487,WBG
193,474,YEM
194,754,ZMB
195,698,ZWE
0,354,CUW
1,352,MAF
2,351,MSR
3,867,MHL
4,323,FLK
5,887,PYF
6,823,GIB
7,319,BMU
8,326,GRL
9,859,ASM
10,816,FRO
11,954,PRK
12,928,CUB
13,839,NCL
14,829,GUM
15,312,AIA
16,187,VAT
